| Name                      | Version   | License                                           | URL                                                            |
|---------------------------|-----------|---------------------------------------------------|----------------------------------------------------------------|
| probfoil                  | 2.1.0.3   | Apache Software License                           | https://dtai.cs.kuleuven.be/software/probfoil                  |
| problog                   | 2.2.4     | Apache Software License                           | https://dtai.cs.kuleuven.be/problog                            |
| requests                  | 2.31.0    | Apache Software License                           | https://requests.readthedocs.io                                |
| python-dateutil           | 2.8.2     | Apache Software License; BSD License              | https://github.com/dateutil/dateutil                           |
| click                     | 8.1.7     | BSD License                                       | https://palletsprojects.com/p/click/                           |
| dill                      | 0.3.8     | BSD License                                       | https://github.com/uqfoundation/dill                           |
| idna                      | 3.6       | BSD License                                       | https://github.com/kjd/idna                                    |
| joblib                    | 1.3.2     | BSD License                                       | https://joblib.readthedocs.io                                  |
| multiprocess              | 0.70.16   | BSD License                                       | https://github.com/uqfoundation/multiprocess                   |
| numpy                     | 1.26.2    | BSD License                                       | https://numpy.org                                              |
| pandas                    | 1.5.3     | BSD License                                       | https://pandas.pydata.org                                      |
| psutil                    | 5.9.8     | BSD License                                       | https://github.com/giampaolo/psutil                            |
| scikit-learn              | 1.3.2     | BSD License                                       | http://scikit-learn.org                                        |
| scipy                     | 1.12.0    | BSD License                                       | https://scipy.org/                                             |
| threadpoolctl             | 3.3.0     | BSD License                                       | https://github.com/joblib/threadpoolctl                        |
| wrapt                     | 1.16.0    | BSD License                                       | https://github.com/GrahamDumpleton/wrapt                       |
| attrs                     | 23.2.0    | MIT License                                       | https://www.attrs.org/en/stable/changelog.html                 |
| charset-normalizer        | 3.3.2     | MIT License                                       | https://github.com/Ousret/charset_normalizer                   |
| cli-exit-tools            | 1.2.6     | MIT License                                       | https://github.com/bitranox/cli_exit_tools                     |
| dice-ml                   | 0.11      | MIT License                                       | https://github.com/interpretml/DiCE                            |
| jsonschema                | 4.21.1    | MIT License                                       | https://github.com/python-jsonschema/jsonschema                |
| jsonschema-specifications | 2023.12.1 | MIT License                                       | https://github.com/python-jsonschema/jsonschema-specifications |
| lib-detect-testenv        | 2.0.8     | MIT License                                       | https://github.com/bitranox/lib_detect_testenv                 |
| pytz                      | 2024.1    | MIT License                                       | http://pythonhosted.org/pytz                                   |
| raiutils                  | 0.4.1     | MIT License                                       | https://github.com/microsoft/responsible-ai-widgets            |
| referencing               | 0.33.0    | MIT License                                       | https://github.com/python-jsonschema/referencing               |
| rpds-py                   | 0.18.0    | MIT License                                       | https://github.com/crate-py/rpds                               |
| six                       | 1.16.0    | MIT License                                       | https://github.com/benjaminp/six                               |
| urllib3                   | 2.2.1     | MIT License                                       | https://github.com/urllib3/urllib3/blob/main/CHANGES.rst       |
| wrapt-timeout-decorator   | 1.4.0     | MIT License                                       | https://github.com/bitranox/wrapt_timeout_decorator            |
| tqdm                      | 4.66.2    | MIT License                                       | https://tqdm.github.io                                         |
